cycle_life,DeltaQ_logVar,DeltaQ_logMin,DeltaQ_logMean,DeltaQ_logSkew,DeltaQ_logKurt,DeltaQ_2V,slope_capacity_fade_2-100,intercept_capacity_fade_2-100,slope_capacity_fade_91-100,intercept_capacity_91-100,QD_2,QD_Max-2,QD_100,init_avg_charge_time,T_max,T_min,T_integral,IR_2,min_IR,IR_100-2
691,-3.650080545,-1.35523443,-1.35523443,-1.28333827,0.129215481,-3.78E-05,-0.000294542,1.101465004,-0.000105866,1.074975859,1.0661705,0.0039753,1.0645274,9.958173667,36.084282,29.688587,3119.981329,0.019886132,0.015845969,-0.003994543
788,-3.619906827,-1.338256453,-1.338256453,-0.563163903,0.105651445,-1.51E-06,-1.04E-05,1.08889662,-3.33E-05,1.090313945,1.0851147,0.0041907,1.0870851,9.924738333,37.49086,29.91865,3238.42448,0.016449727,0.016205151,-6.61E-05
534,-3.36723741,-1.19667656,-1.19667656,-0.616772288,0.030486792,3.62E-06,-0.000139776,1.076969671,-0.000233113,1.084587725,1.07263,0.0030942,1.0612478,9.021115,35.504932,29.662241,3150.974054,0.015740737,0,-0.000580528
559,-3.350338052,-1.188959728,-1.188959728,-1.044954055,0.058077511,-3.98E-05,-8.18E-05,1.086397504,-0.000159053,1.092649285,1.0824388,0.0034874,1.0767291,8.964706333,37.615559,29.948643,3247.535196,0.015348774,0,-0.000203807
1014,-4.040793643,-1.523552178,-1.523552178,-0.844134617,0.090118977,-0.000151397,-6.95E-06,1.082815554,-2.04E-05,1.083739446,1.0792934,0.004493,1.0816909,11.44700633,36.165897,29.545927,3135.002701,0.016937815,0.016472535,-9.14E-06
1017,-3.938662524,-1.496997833,-1.496997833,-0.469975711,0.105233575,-0.000198152,2.02E-06,1.07792995,-7.40E-05,1.084523121,1.0745355,0.0045395,1.0776314,12.147216,37.596226,30.30908,3271.171721,0.016687831,0.016390581,-4.86E-06
854,-4.027888821,-1.531044892,-1.531044892,-0.446196105,0.093909737,-0.000146887,5.13E-07,1.078821728,-3.22E-05,1.081288054,1.0752345,0.0046786,1.0780438,12.13012667,38.670872,30.400667,3317.212644,0.016699277,0.016397864,-1.13E-05
870,-3.795219997,-1.416184199,-1.416184199,-0.931561192,0.106078636,-0.000214482,-1.52E-05,1.091350021,-9.83E-05,1.098625475,1.0876514,0.0038948,1.0893713,10.76481967,37.077717,30.189548,3249.425101,0.016376387,0.016129743,1.29E-05
842,-3.8537032,-1.4457275,-1.4457275,-0.538323647,0.092308315,0.000183597,-1.08E-05,1.082584738,-1.33E-05,1.082296433,1.0790461,0.0039534,1.0810226,10.79698533,38.178074,30.495707,3321.705063,0.016174601,0.015953196,3.19E-05
860,-3.844711807,-1.429299712,-1.429299712,-0.845779952,0.092889828,-8.38E-06,-7.73E-06,1.08108969,-3.48E-05,1.083175631,1.0777475,0.003847,1.0796947,11.12990733,38.303513,30.421293,3309.98551,0.016742077,0.016467512,6.38E-05
917,-3.838281705,-1.433345122,-1.433345122,-0.861287007,0.106707044,0.000146226,-5.21E-06,1.08304867,-3.73E-05,1.085559155,1.0794537,0.0043492,1.0818107,11.17953533,36.258759,30.240517,3205.006859,0.016626336,0.016308507,1.78E-05
709,-3.744699218,-1.389176102,-1.389176102,-0.544863539,0.088841604,-6.53E-05,-1.64E-05,1.083658496,-3.75E-05,1.085152836,1.0798637,0.0039545,1.0814074,10.13017967,37.483994,30.457619,3286.899118,0.016072329,0.015838005,5.84E-05
876,-3.777732624,-1.403642586,-1.403642586,-0.955723216,0.094164493,0.000246252,-2.62E-05,1.09840466,-4.08E-05,1.099446616,1.0946392,0.0036942,1.0953494,10.11367267,31.658901,29.649641,2976.774877,0.016952254,0.016684072,1.07E-05
731,-3.646463497,-1.341356375,-1.341356375,-0.807834047,0.107022205,-9.23E-05,-1.28E-05,1.081323039,-3.84E-05,1.083227069,1.0778366,0.0038201,1.0793804,10.096438,37.14436,30.193592,3241.814258,0.016239462,0.015933495,5.13E-05
757,-3.667057598,-1.347736431,-1.347736431,-1.188209862,0.090872478,-5.73E-05,-2.18E-05,1.096604067,-4.61E-05,1.098375564,1.0924908,0.0043354,1.0937657,10.14642867,38.728722,30.119719,3299.949381,0.016591828,0.016214989,-1.72E-05
742,-3.848616157,-1.429245314,-1.429245314,-0.821307408,0.071845251,0.000138343,-3.13E-07,1.08008595,-3.01E-05,1.082449982,1.0766174,0.004865,1.0794187,11.067937,37.240925,29.709148,3201.18418,0.0169825,0.016567618,-2.84E-05
703,-3.772605816,-1.407245667,-1.407245667,-1.024626695,0.113918038,-4.36E-05,3.20E-06,1.074344712,-2.63E-05,1.076614707,1.0707464,0.0050792,1.0739936,11.051195,36.075569,29.54327,3145.645658,0.017059039,0.016647711,3.24E-05
704,-3.669501343,-1.35045675,-1.35045675,-1.617615702,0.109824665,-1.35E-05,-7.18E-06,1.081642895,-4.10E-05,1.084323084,1.0778315,0.0045278,1.0802411,11.52484333,34.868446,30.028351,3140.514475,0.016480684,0.016229769,8.79E-05
648,-3.673938893,-1.351203133,-1.351203133,-0.626213167,0.101669146,-0.000271607,-9.68E-06,1.078523771,-4.38E-05,1.081177342,1.0748194,0.0044724,1.0768065,11.574392,36.993626,29.988958,3229.972816,0.016607935,0.016318144,6.72E-05
617,-3.433048174,-1.248600812,-1.248600812,-1.195108382,0.129801972,8.84E-05,-9.44E-06,1.076282799,-7.16E-06,1.075664488,1.0729513,0.0036465,1.0749754,10.24306667,37.995705,30.288816,3302.005465,0.016260354,0.016066672,8.90E-05
625,-3.50453372,-1.274546136,-1.274546136,-0.816723512,0.106255475,-7.96E-05,-3.29E-06,1.085827017,-2.56E-05,1.087359352,1.0817773,0.0046894,1.0847629,10.258443,38.024876,30.181021,3283.493123,0.016743599,0.016519627,9.16E-05
966,-4.055212705,-1.536171058,-1.536171058,-0.604665456,0.093944667,-2.31E-05,-8.20E-06,1.087348426,-4.21E-05,1.089952279,1.0833029,0.0045033,1.0857353,12.07122267,38.388569,30.003733,3279.07692,0.016756468,0.016480761,6.66E-05
1051,-4.071513969,-1.54505928,-1.54505928,-0.635718645,0.094453402,2.18E-05,-1.39E-07,1.082893853,-3.19E-05,1.085361975,1.0789614,0.0049075,1.0821686,12.087368,37.576675,30.021296,3241.102364,0.016856873,0.016552322,-9.89E-07
702,-3.665855785,-1.349598771,-1.349598771,-0.967808152,0.119335705,-0.000398481,2.11E-06,1.08378139,-3.26E-05,1.086507071,1.0798725,0.0049595,1.0832821,11.17109367,38.397423,30.125891,3291.285531,0.0167679,0.016511114,0.000103314
651,-3.667779072,-1.350607789,-1.350607789,-0.624787306,0.114815318,-4.67E-05,-2.40E-05,1.07174695,-3.97E-05,1.072803769,1.0682389,0.0034321,1.0688359,11.17087433,37.725166,30.034327,3267.142545,0.016111452,0.015904058,0.000127854
616,-3.420700005,-1.230644303,-1.230644303,-0.856735788,0.110348796,-0.000294607,-3.36E-05,1.08855646,-5.14E-05,1.089854065,1.0847682,0.0035624,1.0847102,10.27110433,36.804283,29.747217,3190.113036,0.017436398,0.017142953,0.000152771
599,-3.425292236,-1.226187894,-1.226187894,-0.938555944,0.107343088,0.000105717,-1.29E-05,1.087818373,-3.90E-05,1.089747546,1.0839558,0.0044825,1.0858277,10.25446533,37.855122,29.696999,3234.245539,0.016685704,0.016382927,0.000150384
300,-2.745713142,-0.868309264,-0.868309264,-0.310813309,-0.054311,0.000137331,-0.000354731,1.07883863,-0.000696795,1.108732469,1.0700541,0.0035296,1.038452,10.24416467,33.972218,26.734909,2944.24891,0.017505454,0.016423751,-0.00021299
148,-2.726900927,-0.860038351,-0.860038351,-0.031051806,-0.292914219,-1.93E-05,-0.001092105,1.084408327,-0.001405749,1.109249796,1.0720705,0.0015459,0.96833885,10.32765733,38.543324,27.851921,3175.862593,0.017582141,0.016267318,-0.000832979
438,-3.49325878,-1.263094289,-1.263094289,-0.769043504,0.108508492,-4.20E-05,-1.28E-05,1.078679621,-5.64E-05,1.081637856,1.0735391,0.0064283,1.0759984,10.075615,39.198795,28.835936,3209.141572,0.017894397,0.017209327,-0.000232082
335,-2.92954618,-0.996792629,-0.996792629,-0.374624865,0.01478523,-2.93E-05,-0.000227374,1.072520538,-0.000355322,1.082344632,1.0668509,0.0020589,1.046734,10.135263,39.808941,29.275244,3297.152867,0.016825944,0.015852956,-0.000333825
444,-3.352005049,-1.193764577,-1.193764577,-0.795787759,0.05590189,1.36E-05,-0.00010675,1.077330645,-0.000189493,1.084105793,1.0728973,0.0027499,1.0650914,10.124655,38.022896,29.794935,3224.460634,0.016936054,0.015997788,-0.00085516
480,-3.602695018,-1.317856778,-1.317856778,-1.100566218,0.105057355,-0.000207789,-1.14E-06,1.072032036,-7.46E-05,1.078154133,1.0680153,0.0050053,1.070745,10.16286633,36.829567,29.224894,3141.070102,0.017180175,0.016727364,-0.000308501
511,-3.244389546,-1.139918711,-1.139918711,-0.361250728,0.005525264,-1.13E-05,-0.000214386,1.075658243,-0.000290691,1.081211722,1.0687391,0.0037921,1.0521992,10.19462267,38.299351,29.188963,3211.864572,0.016829265,0.015648872,-0.001029189
561,-3.626313399,-1.315854095,-1.315854095,-0.78113063,0.037838938,-4.76E-06,-6.00E-05,1.074592569,-0.000165943,1.083473019,1.0690521,0.0048897,1.0670482,10.114951,39.457458,29.682396,3274.407627,0.018265773,0.017548179,-0.000579358
477,-3.462718089,-1.248020978,-1.248020978,-1.05543352,0.082594809,-9.84E-06,-4.15E-05,1.076324939,-0.000125932,1.083208858,1.0717047,0.0042239,1.0705185,10.107076,38.132206,30.125391,3254.202876,0.017606791,0.017036082,-0.00052274
458,-3.320109852,-1.177533343,-1.177533343,-0.453949117,0.035080705,0.000203244,-0.000148013,1.076501974,-0.000243721,1.084382516,1.0712759,0.0029707,1.0600308,10.17263867,39.435226,29.859741,3292.562121,0.017133227,0.016133603,-0.000956277
483,-3.184818006,-1.113893114,-1.113893114,-1.295000661,0.065156916,-7.30E-05,-0.000121204,1.085154313,-0.000186149,1.090231258,1.080285,0.0029318,1.0716245,10.23092367,39.087688,29.9837,3269.642826,0.017087275,0.016480118,-0.000497063
485,-3.498751806,-1.282073166,-1.282073166,-0.947698474,0.121548082,0.00018748,-3.97E-06,1.082271562,-4.31E-05,1.085222101,1.0780684,0.0048147,1.0809475,10.114209,38.206268,29.854347,3221.14036,0.017164165,0.016895344,-0.000133067
494,-3.428991598,-1.237925613,-1.237925613,-0.521854131,0.09974026,0.000206836,2.06E-05,1.073533826,-7.10E-05,1.0806242,1.0656468,0.0110646,1.073837,10.161191,35.806377,28.374697,3080.121831,0.017780064,0.016974878,-0.000504403
487,-3.52765465,-1.256229522,-1.256229522,-1.001823429,0.004996959,-1.34E-05,-8.16E-05,1.06828311,-0.000141642,1.072919504,1.063838,0.0037714,1.0588086,10.18597433,38.70813,29.016958,3229.673866,0.017536523,0.016697574,-0.000435537
461,-3.316004879,-1.190164921,-1.190164921,-1.414892025,0.090062003,4.19E-05,-0.000178508,1.051277032,-0.000171432,1.049971758,1.0480373,0.0016425,1.0328457,10.333377,37.402428,29.229534,3178.774327,0.017928939,0.01643493,-0.001034869
502,-3.720936456,-1.359308707,-1.359308707,-1.071780486,0.035815002,0.000213485,-6.30E-06,1.088277042,-8.80E-05,1.094967578,1.0831043,0.0063896,1.0862604,10.147933,38.40601,29.268984,3200.225958,0.017545482,0.017116761,-9.67E-05
489,-3.52653635,-1.230650502,-1.230650502,-0.89253553,0.076952991,6.97E-05,-4.40E-05,1.082136947,-0.000109075,1.087376249,1.0768799,0.005137,1.0766457,10.121576,37.163727,29.150013,3171.162115,0.017655412,0.017165525,-0.000258873
513,-3.554346862,-1.295833799,-1.295833799,-1.271819313,0.103376173,2.37E-05,-8.08E-06,1.084615931,-8.59E-05,1.091102888,1.079723,0.0056468,1.0825431,10.14747167,36.146839,29.35239,3129.243081,0.017338831,0.016888004,-0.000345537
527,-3.526259141,-1.280650809,-1.280650809,-0.572505163,0.067693341,-8.80E-05,-6.66E-05,1.078901174,-0.000125752,1.083801218,1.0745209,0.00356,1.0714235,10.250747,36.934685,29.381733,3160.62853,0.017877026,0.01690297,-0.00082546
495,-3.695801909,-1.35617917,-1.35617917,-0.851878767,0.070388087,9.32E-05,2.77E-06,1.071938919,-8.55E-05,1.079509,1.0679682,0.0054579,1.0710108,10.058893,36.811321,26.808544,2948.043548,0.017488673,0.016777694,-0.000260558
461,-3.452462755,-1.244540939,-1.244540939,-1.648455294,0.102776378,1.56E-05,-3.03E-05,1.072093634,-0.000126161,1.080208468,1.0672674,0.0048971,1.0676695,10.04198667,33.972847,27.869812,2920.798418,0.017678419,0.016953357,-0.000553833
471,-3.407160974,-1.229542591,-1.229542591,-1.125729639,0.117483669,0.00026945,-3.70E-05,1.082561314,-0.000123453,1.089652165,1.0766411,0.0058852,1.0773104,10.00823233,36.585075,29.097336,3102.516429,0.018048871,0.017301282,-0.000577019
468,-3.561808355,-1.298864379,-1.298864379,-1.042000687,0.102419048,2.07E-05,4.95E-07,1.070597696,-6.74E-05,1.076084512,1.065841,0.005946,1.0693567,10.14740933,36.62397,29.155989,3136.158386,0.017624324,0.017141469,-0.00026701
509,-3.522279678,-1.286735986,-1.286735986,-0.880585497,0.113089,-0.000236325,6.73E-06,1.076352866,-5.91E-05,1.082173513,1.07155,0.0063132,1.0759076,10.13968633,38.591679,29.461449,3240.207774,0.017233955,0.01686197,-8.50E-05
498,-3.708903031,-1.386179372,-1.386179372,-0.543987343,0.134322772,-4.36E-05,3.28E-05,1.076574752,-1.81E-05,1.08047904,1.0725043,0.0068375,1.0787998,10.114581,39.010788,30.02223,3281.839944,0.017144648,0.016837668,4.10E-05
481,-3.604794164,-1.325416644,-1.325416644,-0.700897629,0.110284867,1.11E-05,8.46E-06,1.071719845,-6.42E-05,1.07765363,1.0672802,0.0058776,1.071249,10.09733367,37.101799,29.613438,3175.722318,0.017789029,0.017394017,-0.00031568
492,-3.627063502,-1.34314469,-1.34314469,-2.337812994,0.133107305,-4.87E-05,1.27E-05,1.07857364,-5.83E-05,1.084380818,1.0732793,0.0068458,1.0785081,10.14688433,35.575104,29.430504,3115.14467,0.01768863,0.017417014,-3.72E-05
519,-3.487070117,-1.237979444,-1.237979444,-0.681143843,0.115776588,2.74E-05,1.78E-05,1.078764532,-3.53E-05,1.083118649,1.0742669,0.0066598,1.0795146,10.13043933,39.249191,29.45435,3258.355478,0.017645668,0.017273866,0.000109414
520,-3.683620055,-1.36479095,-1.36479095,-1.126582219,0.131303618,0.000235851,2.07E-05,1.08352129,-1.62E-05,1.086236694,1.079052,0.006544,1.0847911,10.12924833,37.553761,29.949514,3231.440269,0.017695136,0.017406421,9.91E-05
499,-3.703437239,-1.372643592,-1.372643592,-0.898147393,0.12951776,7.66E-05,2.09E-05,1.073610613,-5.00E-05,1.079649324,1.0688509,0.0068526,1.0746909,10.164115,38.83897,30.105608,3276.158117,0.017662423,0.017337065,-0.00014857
463,-3.488171402,-1.272055591,-1.272055591,-0.728436834,0.139738367,-8.48E-05,-2.80E-07,1.073355198,-7.22E-05,1.079095497,1.0687217,0.0057665,1.0718495,10.13029333,40.031326,30.03739,3296.150346,0.017460613,0.016969517,-0.000378346
535,-3.564054357,-1.309596445,-1.309596445,-0.482088116,0.120810095,-0.000299448,2.41E-05,1.083945036,-3.12E-05,1.088271479,1.079731,0.0063388,1.0852383,10.14772167,39.087948,29.841801,3274.641819,0.02021559,0.020022187,9.95E-05
478,-3.523137287,-1.291292746,-1.291292746,-0.948254492,0.139515213,0.000118488,3.51E-05,1.07889607,-3.18E-05,1.084373907,1.0748166,0.0068574,1.081265,10.11468833,36.40403,29.367825,3130.704056,0.018226312,0.01798249,9.34E-05
465,-3.536241265,-1.289183904,-1.289183904,-1.393010048,0.120361724,-9.30E-05,1.65E-05,1.074105116,-4.34E-05,1.078955405,1.0699497,0.0057986,1.074622,10.14849333,37.465702,29.400135,3153.163629,0.017847016,0.017577264,-3.57E-05
459,-3.505597807,-1.283622453,-1.283622453,-1.298407454,0.142137464,-0.000121559,3.19E-05,1.084284399,-2.65E-05,1.088829988,1.0784613,0.0084206,1.0863159,10.14447933,36.903049,29.399006,3148.654744,0.018174672,0.017882114,7.45E-05
499,-3.559862685,-1.298509866,-1.298509866,-1.500458354,0.118415814,1.94E-05,-1.99E-05,1.082268664,-5.40E-05,1.085115201,1.0765519,0.0065683,1.0798434,10.13158333,39.397137,29.524549,3267.638677,0.017582053,0.016943704,-0.000469548
429,-3.439082034,-1.247334921,-1.247334921,-0.866600089,0.140075548,0.000101814,1.66E-05,1.073882672,-6.89E-05,1.080949204,1.0682049,0.0079039,1.0736984,10.12803633,38.922901,29.400105,3246.686257,0.0179385,0.017491397,-7.86E-05
466,-3.587295399,-1.301274614,-1.301274614,-1.115133257,0.094905113,-3.98E-06,1.18E-05,1.082518045,-6.92E-05,1.089385525,1.0780239,0.0060867,1.082616,10.13045433,39.339207,29.589365,3247.77066,0.017394457,0.016997622,-9.30E-05
462,-3.39496836,-1.226029272,-1.226029272,-1.993883621,0.134111958,-3.82E-05,1.25E-05,1.078976253,-2.66E-05,1.081680605,1.0735646,0.0070754,1.0790776,10.12917433,38.905258,29.649296,3235.224487,0.01812768,0.017879792,9.04E-05
457,-3.452581338,-1.244631657,-1.244631657,-1.389834643,0.111611938,9.72E-05,2.23E-05,1.075213642,-2.26E-05,1.078684715,1.070887,0.0063656,1.0763599,10.14690533,39.444595,29.683577,3236.931328,0.01761589,0.017408777,0.000186326
487,-3.688417663,-1.361351223,-1.361351223,-1.53969922,0.113009868,-5.25E-05,-7.06E-06,1.074867974,-7.21E-05,1.080170462,1.0704726,0.0051856,1.0730408,10.097114,37.933308,29.381407,3196.294683,0.017153347,0.01683791,-0.000126906
429,-3.368943335,-1.219913247,-1.219913247,-1.20553435,0.132095028,-7.21E-05,2.94E-05,1.077631966,-1.32E-05,1.080845185,1.0726138,0.0073842,1.0795197,10.14691733,37.894932,29.27129,3166.447281,0.017752018,0.017551575,0.000247778
713,-4.033930643,-1.528514098,-1.528514098,-0.566280441,0.083097651,4.24E-05,-9.55E-06,1.049389155,-7.97E-05,1.054948215,1.0421375,0.0081127,1.0470229,10.112717,36.923679,29.348475,3175.739133,0.017923383,0.017025596,-0.000836281
1009,-4.24511487,-1.632426848,-1.632426848,-0.709694604,0.068884546,3.61E-06,-5.35E-06,1.070659091,-4.19E-05,1.073592474,1.0674551,0.0039161,1.0694544,10.044531,33.974361,30.64265223,3155.187531,0.015398955,0.015180224,-0.000128412
1063,-4.28554271,-1.651224532,-1.651224532,-0.543073173,0.05076408,-0.000191517,-1.47E-05,1.068472358,-6.47E-05,1.072881217,1.0650603,0.0036796,1.0664777,10.04113867,38.707848,31.221146,3413.558719,0.015162034,0.014931546,-0.000102823
1115,-4.11660777,-1.571272268,-1.571272268,-0.319166474,0.008770857,5.16E-06,-1.27E-05,1.065298418,-7.75E-05,1.071194784,1.0628892,0.002645,1.0635946,10.04206533,40.076626,31.780437,3536.086955,0.015006617,0.014885032,5.61E-05
1048,-4.178465673,-1.605368409,-1.605368409,-0.36065353,0.044585786,-7.03E-05,-5.23E-06,1.074804658,-2.38E-05,1.076184468,1.0724765,0.0027885,1.0738586,10.04503133,33.39357831,30.86325642,3147.567846,0.015246842,0.015085269,-6.73E-05
828,-4.114423975,-1.594395868,-1.594395868,-0.78786009,0.108811655,0.000152123,-1.60E-05,1.053974207,-6.30E-05,1.058087015,1.0514506,0.0026052,1.0518515,10.04191,40.19554383,31.60561894,3484.669306,0.015374157,0.015130546,-0.000167234
667,-3.525708193,-1.274074926,-1.274074926,-0.315910258,-0.061941634,0.000177307,-0.000202398,1.064081999,-0.000243287,1.068014835,1.0626124,0.0004592,1.04378,10.06247167,37.461433,30.94306117,3342.585486,0.013527169,0.013527169,0.000320148
1836,-4.488742188,-1.768045875,-1.768045875,-0.467522164,0.079457689,0.000125864,-2.36E-06,1.070297655,-6.75E-05,1.076085287,1.0675218,0.0033972,1.0684743,11.04157733,34.60008198,31.00022334,3214.291442,0.015535541,0.015372629,-3.54E-05
828,-4.091803757,-1.57107236,-1.57107236,-0.667416149,0.106922666,3.90E-06,-3.31E-06,1.068174847,-3.77E-05,1.070842241,1.0647362,0.0039782,1.067026,10.04495,35.54589716,30.969942,3239.491195,0.015438134,0.01520093,-0.000172681
1039,-3.982296953,-1.529071212,-1.529071212,-1.252987647,0.129437322,-0.000172832,6.68E-07,1.072825256,-8.25E-06,1.073239733,1.0694826,0.0038881,1.0724456,10.04174933,35.68543912,31.0201248,3242.569687,0.015903223,0.015742281,-2.94E-05
1078,-4.411355924,-1.719125239,-1.719125239,-0.610911056,0.076230822,-6.96E-05,-2.88E-06,1.064525264,-0.000113952,1.074603958,1.0617746,0.0032262,1.0623909,11.04500333,35.20887742,30.42616191,3188.364386,0.015551002,0.015318613,-0.000143864
817,-3.884921164,-1.467406442,-1.467406442,-0.853274963,0.10229864,0.000162139,-1.77E-05,1.070729462,-3.90E-05,1.072246544,1.0680679,0.0026928,1.0682998,10.04221833,38.22832464,31.117903,3351.787913,0.015608084,0.015485173,-4.96E-05
932,-3.946789977,-1.498462568,-1.498462568,-2.045376078,0.108352195,-0.000100943,-6.68E-06,1.076676032,-2.38E-05,1.077940266,1.0741653,0.0027777,1.0755343,10.04249167,36.1158558,30.95178679,3255.494308,0.016139418,0.01599754,-4.04E-05
816,-4.094466485,-1.558366377,-1.558366377,-0.587928164,0.078434661,-0.000141006,-1.22E-05,1.069335077,-4.98E-05,1.072257731,1.065558,0.0040867,1.067306,10.04231967,37.80334002,31.00840862,3343.496554,0.015250437,0.01506449,-0.000145141
858,-3.999667695,-1.533393919,-1.533393919,-0.716601829,0.120520241,2.24E-05,4.64E-06,1.076779365,-1.70E-05,1.078110351,1.0727056,0.0050386,1.0763919,10.041712,36.10149946,30.790092,3245.858566,0.015668793,0.015496999,-7.74E-05
876,-4.000684422,-1.530408516,-1.530408516,-0.812976499,0.10865481,4.14E-05,-1.16E-05,1.071136518,-7.97E-05,1.077064293,1.0684187,0.0028587,1.0693594,10.04153367,37.344582,30.48859917,3284.01637,0.015417448,0.01525728,-9.03E-05
1638,-4.694513499,-1.871213282,-1.871213282,-1.273501176,-0.05127774,6.40E-05,-9.69E-06,1.064003112,-8.32E-05,1.070542173,1.061009,0.0033309,1.0625579,11.04336633,38.21816186,31.64106944,3424.150381,0.015453937,0.015253145,-0.000120936
1315,-4.43971308,-1.7475744,-1.7475744,-1.777335405,-0.088713941,0.000170091,-5.83E-06,1.067345296,-2.00E-05,1.068533195,1.0664514,0.0025996,1.0664585,10.04197433,38.138309,31.04113689,3437.337069,0.015524552,0.01535425,-0.000162275
1146,-4.254052001,-1.629750306,-1.629750306,-0.640237159,0.024125686,-0.000184875,-2.93E-05,1.070361931,-7.01E-05,1.074033416,1.0680237,0.0021301,1.0670015,10.04312967,38.518787,32.020798,3458.496415,0.015098186,0.014978203,-3.74E-05
1155,-4.171941875,-1.596988363,-1.596988363,-0.917652272,0.046058591,-2.16E-05,-2.97E-05,1.074235086,-7.90E-05,1.078710202,1.0719248,0.0019749,1.0708553,10.043437,38.401493,31.769892,3439.696567,0.015555796,0.015178323,-4.25E-05
813,-4.066344693,-1.551726744,-1.551726744,-0.469121786,0.072911487,-2.84E-05,-7.15E-06,1.067814756,-4.07E-05,1.070552776,1.0650502,0.0030607,1.0664401,10.04332967,36.232254,30.59856744,3244.19147,0.015409848,0.015206913,-7.64E-05
772,-3.704326686,-1.363751397,-1.363751397,-0.295729559,-0.072584687,-4.14E-05,-0.000159492,1.070112267,-0.000192495,1.073130889,1.0678563,0.0008404,1.0538316,10.067868,38.317612,31.55476192,3420.203853,0.013943589,0.01394002,0.000233937
